id,source,institution,title,region,employment,recruitmentType,regionRestriction,start,deadline,status,track,fit,limitation,verified,quality,qualification,process,interview,certificates,url
"JA-419","JOB-ALIO","한국토지주택공사","한국토지주택공사 광주전남지역본부 기간제근로자(사업관리) 채용공고(2026.09)","전남광주","비정규직","상세공고 확인","상세공고 확인","2026.09.09","2026-09-23","진행중","기간제·비정규","세부조건 확인","제한 문구 미탐지","포털 목록 확인","정상","상세공고 확인","상세공고 확인","상세공고 확인","상세공고 확인","https://job.alio.go.kr/recruitview.do?idx=304765"
"JA-418","JOB-ALIO","한국장애인개발원","[제2026-97호] 2026년도 제6차 대구광역시장애아동·발달장애인지원센터 청년인턴(장애인 제한경쟁) 채용 공고","대구","청년인턴(체험형)","상세공고 확인","상세공고 확인","2026.09.09","2026-09-23","진행중","제한경쟁·조건부","조건 충족자만","장애 관련 제한경쟁","포털 목록 확인","정상","상세공고 확인","상세공고 확인","상세공고 확인","상세공고 확인","https://job.alio.go.kr/recruitview.do?idx=304743"
"JA-417","JOB-ALIO","학교법인한국폴리텍","한국폴리텍대학 청주캠퍼스 하반기 청년인턴(일반) 채용 공고","충북","청년인턴(체험형)","상세공고 확인","상세공고 확인","2026.09.09","2026-09-18","진행중","체험형·청년인턴","우선검토","제한 문구 미탐지","포털 목록 확인","정상","상세공고 확인","상세공고 확인","상세공고 확인","상세공고 확인","https://job.alio.go.kr/recruitview.do?idx=304741"
"JA-416","JOB-ALIO","한전KDN","한전KDN(주) 진주지사 배전분야 비정규직 모집공고","경남","비정규직","상세공고 확인","상세공고 확인","2026.09.09","2026-09-23","진행중","기간제·비정규","세부조건 확인","제한 문구 미탐지","포털 목록 확인","정상","상세공고 확인","상세공고 확인","상세공고 확인","상세공고 확인","https://job.alio.go.kr/recruitview.do?idx=304726"
"JA-415","JOB-ALIO","대한적십자사","2026년도 혈장분획센터 정규직 연구원 채용 공고","충북","정규직","상세공고 확인","상세공고 확인","2026.09.09","2026-09-30","진행중","정규직(세부 확인)","세부조건 확인","제한 문구 미탐지","포털 목록 확인","정상","상세공고 확인","상세공고 확인","상세공고 확인","상세공고 확인","https://job.alio.go.kr/recruitview.do?idx=304628"
"JA-414","JOB-ALIO","(재)한국우편사업진흥원","한국우편사업진흥원 기간제 근로자 채용","서울","비정규직","상세공고 확인","상세공고 확인","2026.09.08","2026-09-22","진행중","기간제·비정규","세부조건 확인","제한 문구 미탐지","포털 목록 확인","정상","상세공고 확인","상세공고 확인","상세공고 확인","상세공고 확인","https://job.alio.go.kr/recruitview.do?idx=304772"
"JA-413","JOB-ALIO","국립호남권생물자원관","국립호남권생물자원관 기간제ㆍ단시간 근로자(급식종사자) 채용공고","전남광주","비정규직","상세공고 확인","상세공고 확인","2026.09.08","2026-09-14","진행중","기간제·비정규","세부조건 확인","제한 문구 미탐지","포털 목록 확인","정상","상세공고 확인","상세공고 확인","상세공고 확인","상세공고 확인","https://job.alio.go.kr/recruitview.do?idx=304771"
"JA-412","JOB-ALIO","한국보훈복지의료공단","[광주보훈병원] 청년인턴(체험형) 채용 공고","전남광주","청년인턴(체험형)","상세공고 확인","상세공고 확인","2026.09.08","2026-09-18","진행중","체험형·청년인턴","세부조건 확인","제한 문구 미탐지","포털 목록 확인","정상","상세공고 확인","상세공고 확인","상세공고 확인","상세공고 확인","https://job.alio.go.kr/recruitview.do?idx=304770"
"JA-411","JOB-ALIO","산업연구원","2026년 제6차 청년인턴 채용공고(장애인 제한경쟁)","세종","청년인턴(체험형)","상세공고 확인","상세공고 확인","2026.09.08","2026-09-23","진행중","제한경쟁·조건부","조건 충족자만","장애 관련 제한경쟁","포털 목록 확인","정상","상세공고 확인","상세공고 확인","상세공고 확인","상세공고 확인","https://job.alio.go.kr/recruitview.do?idx=304769"
"JA-410","JOB-ALIO","한국전력공사","2026년도 제4차 전문직원 채용공고","서울 외 2","정규직","상세공고 확인","상세공고 확인","2026.09.08","2026-09-22","진행중","경력·전문직","경력·전문 우선","제한 문구 미탐지","포털 목록 확인","정상","상세공고 확인","상세공고 확인","상세공고 확인","상세공고 확인","https://job.alio.go.kr/recruitview.do?idx=304768"
"JA-409","JOB-ALIO","서울대학교병원","서울대학교병원 블라인드 직원채용 (대체근로자) 공고 (장애인 특별우대)","서울","비정규직","상세공고 확인","상세공고 확인","2026.09.08","2026-09-22","진행중","기간제·비정규","세부조건 확인","제한 문구 미탐지","포털 목록 확인","정상","상세공고 확인","상세공고 확인","상세공고 확인","상세공고 확인","https://job.alio.go.kr/recruitview.do?idx=304766"
"JA-408","JOB-ALIO","한국전기안전공사","2026년 하반기 공무직원 채용","서울 외 12","무기계약직","상세공고 확인","상세공고 확인","2026.09.08","2026-09-22","진행중","무기계약·공무직","세부조건 확인","제한 문구 미탐지","포털 목록 확인","정상","상세공고 확인","상세공고 확인","상세공고 확인","상세공고 확인","https://job.alio.go.kr/recruitview.do?idx=304764"
"JA-407","JOB-ALIO","한국전기안전공사","2026년 하반기 경력직원 채용","전북","정규직","상세공고 확인","상세공고 확인","2026.09.08","2026-09-22","진행중","경력·전문직","경력·전문 우선","제한 문구 미탐지","포털 목록 확인","정상","상세공고 확인","상세공고 확인","상세공고 확인","상세공고 확인","https://job.alio.go.kr/recruitview.do?idx=304763"
"JA-406","JOB-ALIO","한국전기안전공사","2026년 하반기 채용형 인턴 채용","서울 외 13","청년인턴(채용형)","신입","상세공고 확인","2026.09.08","2026-09-22","진행중","제한경쟁·조건부","조건 충족자만","보훈 관련 제한경쟁","상세 페이지 확인","정상","1. 공통사항 - 성별, 연령 제한 없음 (단, 임용일 기준 공사 연령정년인 만 60세 초과자 제외) - 입사일 당일부터 근무 가능자 (입사연기 불가) - 공사 「인사규정」 제6조의 결격사유에 해당하지 않는 자 - 「병역법」 제76조에 정한 병역의무 불이행 사실이 없는 자 - 모집분야별, 근무지별 중복지원 불가 / 중복지원 시 불합격 처리 2. 경영관리(보훈) : 「국가유공자 등 예우 및 지원에 관한 법률」 제29조에 의한 취업지원대상자 3. 경영관리(일반) : 제한 없음 4. 기술(보훈) : 가, 나에 해당하는 자격을 모두 갖춘 자 가. 「국가유공자 등 예우 및 지원에 관한 법률」 제29조에 의한 취업지원대상자 나. 다음 중 1개 이상의 자격을 갖춘 자 - 전기분야 기능사 이상 자격이 있는 사람 - 고등학교에서 전기 관련 학과를 졸업한 자 또는 이와 같은 수준 이상의 학력이 있는 자 5. 기술(일반) : 다음 중 1개 이상의 자격을 갖춘 자 - 전기분야 기능사 이상 자격이 있는 사람 - 고등학교에서 전기 관련 학과를 졸업한 자 또는 이와 같은 수준 이상의 학력이 있는 자","1. 전형절차 및 방법 가. 1차 서류전형 : 8배수 선발 1) 서류전형 배점 고득점자 순으로 8배수로 합격자 선정 2) 사회형평인재 서류전형 합격배수(8배수) 외 서류합격처리 - 경영관리 : 사회형평인재 해당 지원자 전원 서류합격 처리 - 기술 : ① 해당 채용분야의 지원자격 충족 + ② 사회형평인재 해당자 서류합격 처리 나. 2차 시험전형 : 2배수 선발(채용인원이 2명 이하인 경우 3배수) 1) 직업기초능력평가(30%) + 직무수행능력평가(70%)로 성적순 결정 2) 직업기초능력 및 직무수행능력평가 각 40점 미만 득점자는 결격 처리 3) 시험전형 합격자 대상 인성검사(온라인) 실시 다. 3차 면접전형(구조화된 면접 실시) 1) 상황면접(5분/다대일) + 역량면접(1인당 10분/다대다) 2) 면접위원 합산점수가 평균 60점 미만인 자는 결격 처리 3) 자기소개서 미제출 또는 인성검사 미응시자의 경우 면접응시 불가 라. 최종합격자 결정 : 시험전형(50%) + 면접전형(50%) 2. 전형일정 가. 채용공고 : 9. 8.(화) ~ 9. 22.(화) / 공사 채용홈페이지, Job알리오 등 나. 지원서 접수 : 9. 14.(월) 10:00 ~ 9. 22.(화) 17:00 / 공사 채용홈페이지 다. 서류전형 합격자 발표 : 10. 19.(월) / SMS, 공사 홈페이지 라. 시험전형 : 10. 24.(토) / 서울 마. 시험전형 합격자 발표 : 10. 30.(금) / SMS, 공사 홈페이지 바. 자기소개서 제출, 온라인 인성검사 실시 : 10. 30.(금) ~ 11. 3.(화) 14:00 / 공사 채용홈페이지 사. 면접전형 : 11. 16.(월) ~ 11. 20.(금) / 서울 아. 최종합격자 발표 : 12. 14.(월) / SMS, 공사 홈페이지","3차 면접전형(구조화된 면접 실시) 1) 상황면접(5분/다대일) + 역량면접(1인당 10분/다대다) 2) 면접위원 합산점수가 평균 60점 미만인 자는 결격 처리 3) 자기소개서 미제출 또는 인성검사 미응시자의 경우 면접응시 불가 라 / 최종합격자 결정 : 시험전형(50%) + 면접전형(50%) 2 / 면접전형 : 11","상세공고 확인","https://job.alio.go.kr/recruitview.do?idx=304762"
